,0
0,ALGM
1,ARRY
2,AXTI
3,BLZE
4,CDK
5,COMM
6,CVV
7,DMRC
8,DNB
9,EGHT
10,EZFL
11,GB
12,HCKT
13,IMOS
14,JBL
15,LEDS
16,MGRC
17,MSP
18,NTCT
19,OSPN
20,PING
21,QMCO
22,RNG
23,SGLB
24,SOL
25,STX
26,TRKA
27,UIS
28,VSH
29,YELP
