,date,AAOI,AAPL,ABM,ACEV,ACEVU,ACIW,ACLS,ACMR,ACVA,ACY,ADBE,ADI,ADSK,ADTH,ADV,AER,AEYE,AFRM,AGIL,AGMH,AGYS,AI,AIP,AIRG,ALGM,ALIT,ALKT,ALOT,ALRM,ALTG,ALTR,AMBA,AMD,AMKR,AMPL,AMST,AMSWA,AMWL,ANET,ANGI,ANSS,ANTE,AOSL,APCX,API,APP,APPF,APPN,ARNC,ARRY,ARW,ASAN,ASGN,ASML,ASUR,ASX,ASYS,ATEN,ATHM,ATKR,ATOM,ATVI,AUGX,AUID,AUR,AUUD,AVCT,AVDX,AVGO,AVGOP,AVID,AVT,AVYA,AWRE,AXTI,AYX,AZPN,BAND,BASE,BBAI,BBSI,BCOV,BDR,BEAT,BEEM,BGSF,BHE,BIDU,BIGC,BILI,BILL,BKI,BKKT,BKTI,BL
19,20220223  14:00:00,3.855,160.955,43.175,10.02,10.26,32.765,64.86,76.045,12.505,4.265,434.49,158.035,211.655,6.145,7.565,63.94,5.02,35.41,4.625,1.69,39.35,20.04,18.59,8.565,27.095,10.305,14.43,14.125,66.485,12.815,58.76,130.145,110.58,22.05,19.85,0.69,19.35,3.915,118.39,6.405,298.705,1.44,50.95,1.0256,10.8,56.665,108.715,52.665,32.225,8.465,121.05,47.56,105.03,637.545,6.975,7.225,9.46,13.4,26.985,101.54,14.885,80.645,2.38,5.015,4.775,1.555,0.903,8.995,568.91,1779.03,29.34,40.54,12.88,3.335,6.945,54.89,143.555,47.785,19.255,5.17,59.88,6.955,0.4479,1.66,11.735,14.03,25.67,151.025,23.535,30.295,208.49,53.5,5.325,2.395,68.55
20,20220223  15:00:00,3.845,160.12,42.975,10.015,10.26,32.67,63.745,74.715,12.54,4.185,429.36,156.555,208.995,6.27,7.485,63.32,4.985,35.01,4.595,1.68,39.18,20.015,18.565,8.495,26.72,10.115,14.285,14.33,66.03,12.765,58.48,128.3,109.755,21.815,19.33,0.6951,19.205,3.875,118.18,6.385,296.795,1.46,50.23,0.94,10.785,56.285,107.4,51.83,32.025,8.505,120.255,46.795,104.37,631.79,6.97,7.185,9.46,13.44,26.73,100.51,14.55,80.735,2.39,4.97,4.625,1.56,0.8983,9.035,565.425,1770.22,28.795,40.255,12.805,3.25,6.855,53.74,143.58,46.48,18.68,5.195,59.32,6.935,0.45,1.675,11.715,14.055,25.595,149.91,22.995,30.16,206.37,53.14,5.165,2.41,68.035
21,20220224  09:30:00,3.68,156.49,42.795,10.015,10.155,32.85,61.91,74.62,12.555,4.33,438.915,154.335,206.695,6.08,7.38,61.69,4.9,35.265,4.545,1.6,39.405,20.3,19.17,8.34,25.955,10.065,13.61,14.195,65.62,12.555,58.8,122.965,109.66,21.475,19.795,0.6515,20.715,3.795,115.43,6.375,291.315,1.32,48.905,0.895,10.335,54.66,107.72,51.87,30.11,8.79,117.565,49.105,102.865,608.28,6.895,6.925,9.385,13.465,26.92,97.26,14.4,80.665,2.35,4.67,4.545,1.465,0.8426,9.135,555.44,1739.77,28.93,39.685,12.75,3.125,6.815,53.515,143.225,35.29,18.87,5.135,58.285,6.785,0.4184,1.57,11.6,13.685,25.015,144.205,23.295,29.81,209.855,53.33,5.16,2.37,67.75
22,20220224  10:00:00,3.825,156.915,42.215,10.015,10.155,32.845,63.08,77.315,12.74,4.345,447.41,153.77,209.9,6.115,7.385,61.17,5.085,35.63,4.665,1.635,40.28,20.785,20.51,8.33,26.87,9.995,13.815,14.2,66.835,12.62,59.065,128.905,110.82,21.755,20.225,0.632,20.34,3.885,117.02,6.4,304.79,1.32,50.0,0.897,10.68,54.93,108.78,53.795,29.415,9.195,117.69,50.245,102.84,617.015,6.895,6.975,9.475,13.54,27.28,98.675,14.81,80.375,2.36,4.905,4.635,1.5,0.8422,9.37,559.54,1752.825,28.815,39.355,12.825,3.135,6.855,54.585,142.12,34.165,19.175,5.125,57.86,6.765,0.4204,1.615,12.29,13.85,25.025,143.115,23.32,29.735,210.8,54.19,5.14,2.4,68.435
23,20220224  11:00:00,3.78,158.44,42.25,10.015,10.155,32.91,64.285,77.83,12.79,4.345,449.705,154.89,209.995,6.29,7.37,60.375,5.085,36.41,4.705,1.645,40.815,20.575,19.405,8.24,27.275,9.995,13.92,14.325,67.34,12.535,60.015,131.235,110.625,22.04,20.645,0.6276,20.47,3.965,118.22,6.425,310.94,1.345,50.76,0.829,10.695,55.02,109.215,55.015,29.595,9.455,119.2,50.9,103.68,624.795,6.895,7.015,9.575,13.68,26.285,99.795,14.94,80.455,2.355,5.01,4.765,1.575,0.859,9.45,562.145,1760.725,28.98,39.88,12.87,3.29,6.945,55.395,141.565,32.335,19.655,5.175,58.06,6.95,0.4204,1.62,12.405,13.57,24.97,143.44,23.6,30.13,215.62,54.275,5.245,2.42,68.855
24,20220224  12:00:00,3.84,157.17,42.355,10.015,10.225,32.71,63.885,77.34,12.515,4.345,449.06,153.385,208.095,6.285,7.36,58.765,5.245,35.9,4.825,1.64,40.325,20.25,18.865,8.105,27.13,9.795,13.58,14.325,67.03,12.52,59.99,129.2,109.11,21.985,20.38,0.6341,20.635,3.925,117.805,6.405,308.535,1.345,50.44,0.8706,10.595,54.5,108.865,54.81,29.48,9.265,118.385,50.0,103.885,619.95,6.895,6.985,9.59,13.56,26.065,99.585,14.86,80.145,2.36,5.035,4.71,1.615,0.8573,9.275,559.54,1752.79,29.235,40.1,12.85,3.23,6.925,54.595,140.52,32.34,19.495,5.095,57.9,6.95,0.4204,1.635,12.37,13.665,24.895,143.945,23.07,30.12,211.525,53.415,5.095,2.415,68.345
25,20220224  13:00:00,3.94,158.835,42.59,10.015,10.225,32.815,65.15,77.93,12.69,4.3,454.25,155.71,210.05,6.32,7.47,59.09,5.425,36.665,4.87,1.675,40.925,20.695,19.11,8.245,27.575,9.855,14.41,14.325,67.93,12.52,60.315,131.355,112.095,22.355,20.36,0.644,21.06,4.025,118.15,6.5,310.95,1.35,51.065,0.8975,10.86,54.705,110.655,55.775,29.845,9.425,118.73,50.715,104.64,629.045,6.905,7.055,9.645,13.66,26.325,100.015,15.365,80.475,2.385,4.82,4.945,1.59,0.8663,9.45,564.43,1767.735,30.065,40.12,13.105,3.185,7.045,55.555,141.365,31.6,19.725,5.185,58.635,7.08,0.4204,1.625,12.995,13.675,24.955,145.56,23.47,30.56,216.93,54.435,5.285,2.42,69.215
26,20220224  14:00:00,3.97,160.49,42.92,10.015,10.225,33.195,66.33,78.875,13.19,4.46,459.695,157.85,214.265,6.6,7.505,60.86,5.395,37.61,4.97,1.665,41.345,21.125,19.07,8.235,27.755,10.085,15.025,14.32,68.29,12.59,60.805,133.155,114.29,22.845,20.78,0.6514,21.185,4.085,119.225,6.595,312.23,1.555,52.425,0.909,11.14,55.81,111.775,56.84,30.225,9.615,120.255,52.645,105.78,643.16,7.135,7.135,9.645,13.85,27.045,101.435,15.53,80.555,2.385,5.09,5.025,1.635,0.96,9.655,572.665,1792.625,30.21,40.465,13.14,3.255,7.045,56.56,142.07,31.99,19.965,5.685,59.12,7.08,0.4229,1.625,13.265,13.77,25.155,148.41,24.505,31.32,221.125,54.615,6.045,2.42,70.195
27,20220224  15:00:00,4.055,162.715,43.475,10.015,10.225,33.58,67.795,80.4,13.315,4.575,464.01,159.735,217.965,6.83,7.605,61.255,5.25,38.695,4.92,1.655,42.005,21.625,19.28,7.965,28.53,10.135,15.285,14.275,69.175,12.74,61.725,137.53,116.605,23.28,21.62,0.6408,21.325,4.175,120.885,6.745,316.41,1.36,53.76,0.913,11.345,57.06,112.73,58.655,30.455,9.755,120.765,54.345,107.41,656.415,6.92,7.245,9.695,14.055,27.17,103.41,16.155,80.995,2.37,5.215,5.195,1.65,0.9876,9.825,579.985,1815.67,30.925,40.89,13.465,3.515,7.265,57.545,143.475,31.5,20.11,5.48,59.565,7.125,0.435,1.675,13.56,13.875,25.375,151.19,24.93,32.145,227.545,55.37,5.955,2.42,70.45
28,20220225  09:30:00,3.68,161.255,43.56,10.025,10.145,33.745,67.145,79.345,13.3,4.595,456.75,158.69,214.04,6.6,7.66,62.295,5.315,37.875,5.0,1.65,41.685,21.02,18.445,8.775,27.925,10.025,15.145,13.605,65.805,12.755,61.3,134.87,117.16,22.99,20.99,0.6601,21.485,3.985,120.175,6.49,312.475,1.345,52.19,0.969,10.765,54.98,110.6,56.535,30.565,9.72,120.305,51.86,107.775,652.185,7.07,7.135,9.84,13.8,28.55,102.525,15.705,80.715,2.45,5.15,5.105,1.655,0.9339,9.71,577.215,1806.495,30.55,40.83,13.14,3.3,7.19,57.53,145.735,31.235,19.805,5.69,59.185,7.21,0.42,1.71,13.765,13.755,25.345,149.39,23.885,30.53,223.435,55.57,5.655,2.395,69.785
29,20220225  10:00:00,3.505,163.165,43.89,10.025,10.145,34.135,68.305,82.14,13.28,4.24,463.845,160.545,217.045,6.76,7.7,63.24,5.27,38.35,5.13,1.64,41.73,20.985,17.65,8.875,28.36,10.045,16.095,14.635,66.12,12.8,63.145,135.35,120.09,23.395,21.46,0.6548,21.35,4.025,122.685,6.405,319.475,1.35,53.09,0.903,11.055,56.355,110.0,57.035,30.77,10.06,121.665,52.99,108.86,658.465,7.015,7.225,10.115,14.085,29.165,103.94,15.955,81.105,2.385,5.21,5.24,1.65,0.9527,9.91,585.01,1830.425,30.8,41.605,13.315,3.335,7.22,59.065,146.595,31.365,20.205,5.945,60.32,7.225,0.45,1.715,13.62,13.8,25.675,150.33,24.555,30.86,228.52,56.06,5.865,2.39,70.265
30,20220225  11:00:00,3.515,164.575,44.1,10.025,10.145,34.4,68.58,82.265,13.25,4.315,468.215,161.35,218.145,6.8,7.77,64.105,5.285,39.07,4.99,1.63,41.405,21.255,17.34,9.175,28.22,10.015,16.075,14.905,65.11,12.815,64.285,136.815,120.615,23.455,21.46,0.6548,21.47,4.065,123.44,6.495,321.865,1.35,53.69,0.9248,10.99,56.97,111.445,57.98,31.36,10.055,122.46,53.925,109.46,663.2,7.03,7.265,10.195,14.145,29.29,105.265,16.075,81.365,2.415,5.07,5.285,1.645,0.9659,10.01,587.42,1837.775,31.205,41.83,13.45,3.37,7.185,59.245,146.885,31.195,20.465,5.8,60.325,7.23,0.45,1.725,13.765,14.555,25.81,151.92,24.895,31.045,233.37,56.685,6.16,2.395,70.85
31,20220225  12:00:00,3.42,164.08,44.32,10.025,10.145,34.385,69.03,81.735,13.31,4.35,462.485,161.215,216.04,6.81,7.8,63.085,5.29,38.295,4.975,1.63,41.16,21.165,17.445,9.285,28.07,10.075,15.515,15.02,65.66,12.87,64.42,136.91,119.49,23.34,21.075,0.6548,21.735,4.015,123.035,6.625,321.05,1.35,52.93,0.8701,11.125,56.55,110.305,57.47,31.855,9.945,123.245,53.66,109.065,660.99,7.025,7.255,9.98,14.07,29.175,105.255,15.8,81.275,2.425,5.065,5.225,1.7,0.9664,9.495,584.55,1829.71,30.93,42.075,13.43,3.35,7.165,59.19,147.725,30.545,20.015,5.755,60.56,7.32,0.4351,1.73,13.605,14.31,25.945,151.65,24.575,30.805,227.545,56.34,5.8,2.38,70.6
32,20220225  13:00:00,3.455,164.555,44.58,10.025,10.145,34.465,69.06,81.705,13.11,4.345,464.36,161.11,218.82,6.84,7.72,62.88,5.3,38.485,4.995,1.67,41.07,21.385,17.215,9.325,28.255,10.105,15.51,15.125,65.45,12.89,63.27,136.61,119.825,23.385,21.15,0.671,21.605,4.075,122.98,6.725,322.675,1.355,53.25,0.872,11.17,57.07,110.505,57.715,31.615,10.025,123.495,52.585,110.3,660.37,7.085,7.255,10.075,14.125,29.7,105.935,15.86,81.405,2.445,4.965,5.315,1.66,0.945,9.49,583.965,1827.36,31.085,42.2,13.5,3.395,7.2,60.245,147.97,30.755,20.025,5.735,60.89,7.4,0.45,1.74,13.75,14.35,26.025,152.41,24.755,30.995,226.61,56.335,5.875,2.37,70.785
33,20220225  14:00:00,3.425,164.425,44.51,10.025,10.27,33.99,68.615,80.525,12.93,4.35,463.67,160.835,218.475,6.825,7.67,63.105,5.315,38.275,5.065,1.68,41.02,21.315,16.74,9.185,28.195,10.185,15.395,14.95,65.065,12.92,63.905,136.32,120.03,23.26,21.08,0.6655,21.72,4.095,122.445,6.805,322.925,1.35,52.96,0.8786,11.2,57.23,110.555,57.76,31.335,10.095,123.045,52.88,110.28,661.73,7.045,7.265,10.15,14.055,29.815,105.435,15.795,81.235,2.45,4.955,5.33,1.64,1.015,9.315,584.325,1828.055,31.145,42.055,13.425,3.365,7.195,60.815,147.29,30.43,20.2,5.77,60.805,7.35,0.45,1.745,13.73,14.255,25.96,153.085,24.745,30.835,227.34,56.02,5.795,2.265,70.665
34,20220225  15:00:00,3.445,164.855,44.56,10.025,10.27,34.305,69.395,81.925,13.06,4.355,465.465,162.085,219.56,7.03,7.75,62.8,5.33,39.175,5.0,1.64,41.2,21.625,16.96,9.26,28.465,10.245,15.595,14.715,65.18,12.82,64.875,139.33,121.06,23.41,21.22,0.6655,21.995,4.14,123.47,6.93,324.355,1.345,53.445,0.884,11.265,57.295,112.845,58.755,31.595,10.225,123.46,54.11,111.275,666.845,6.99,7.305,10.455,14.155,30.215,105.955,16.175,81.42,2.475,4.96,5.32,1.625,1.075,9.575,588.18,1839.61,31.78,42.19,13.735,3.32,7.335,61.255,148.49,30.3,20.285,6.06,60.94,7.38,0.45,1.78,13.665,14.265,25.975,153.115,25.315,31.445,229.565,56.475,5.825,2.39,72.16
